NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOCC_MRNA_CLEAVAGE_AND_POLYADENYLATION_SPECIFICITY_FACTOR_COMPLEX	18	17		
GOCC_MRNA_CLEAVAGE_FACTOR_COMPLEX	22	21		
GOCC_EUKARYOTIC_TRANSLATION_INITIATION_FACTOR_2_COMPLEX	5		Rejected!	
GOCC_EUKARYOTIC_TRANSLATION_INITIATION_FACTOR_2B_COMPLEX	6		Rejected!	
GOCC_EUKARYOTIC_TRANSLATION_INITIATION_FACTOR_3_COMPLEX	17	17		
GOCC_NASCENT_POLYPEPTIDE_ASSOCIATED_COMPLEX	5		Rejected!	
GOCC_AXONEMAL_DYNEIN_COMPLEX	23	19		
GOCC_MUSCLE_MYOSIN_COMPLEX	15		Rejected!	
GOCC_TROPONIN_COMPLEX	9		Rejected!	
GOCC_STRIATED_MUSCLE_THIN_FILAMENT	22	17		
GOCC_CYTOPLASMIC_DYNEIN_COMPLEX	21	18		
GOCC_DYNACTIN_COMPLEX	16		Rejected!	
GOCC_KINESIN_COMPLEX	50	43		
GOCC_MICROTUBULE	423	386		
GOCC_MICROTUBULE_ASSOCIATED_COMPLEX	161	136		
GOCC_SPINDLE_MICROTUBULE	71	68		
GOCC_AXONEMAL_MICROTUBULE	9		Rejected!	
GOCC_CYTOPLASMIC_MICROTUBULE	72	68		
GOCC_INTERMEDIATE_FILAMENT	215	73		
GOCC_NEUROFILAMENT	8		Rejected!	
GOCC_ACTIN_FILAMENT	113	98		
GOCC_ARP2_3_PROTEIN_COMPLEX	9		Rejected!	
GOCC_SODIUM_POTASSIUM_EXCHANGING_ATPASE_COMPLEX	12		Rejected!	
GOCC_VOLTAGE_GATED_CALCIUM_CHANNEL_COMPLEX	43	31		
GOCC_ACETYLCHOLINE_GATED_CHANNEL_COMPLEX	16		Rejected!	
GOCC_CAVEOLA	81	67		
GOCC_MICROVILLUS	91	78		
GOCC_BRUSH_BORDER	101	82		
GOCC_CLATHRIN_COATED_PIT	71	65		
GOCC_CELL_CELL_JUNCTION	485	408		
GOCC_ADHERENS_JUNCTION	172	153		
GOCC_ZONULA_ADHERENS	8		Rejected!	
GOCC_FASCIA_ADHERENS	9		Rejected!	
GOCC_GAP_JUNCTION	32	17		
GOCC_CONNEXIN_COMPLEX	21		Rejected!	
GOCC_CILIUM	653		Rejected!	
GOCC_CELL_CORTEX	301	257		
GOCC_PHOSPHATIDYLINOSITOL_3_KINASE_COMPLEX	29	26		
GOCC_MITOCHONDRIAL_ALPHA_KETOGLUTARATE_DEHYDROGENASE_COMPLEX	5		Rejected!	
GOCC_CAMP_DEPENDENT_PROTEIN_KINASE_COMPLEX	10		Rejected!	
GOCC_CALCIUM_AND_CALMODULIN_DEPENDENT_PROTEIN_KINASE_COMPLEX	5		Rejected!	
GOCC_CALCINEURIN_COMPLEX	5		Rejected!	
GOCC_PHOSPHORYLASE_KINASE_COMPLEX	5		Rejected!	
GOCC_MITOCHONDRIAL_PYRUVATE_DEHYDROGENASE_COMPLEX	6		Rejected!	
GOCC_TRANSCRIPTION_ELONGATION_FACTOR_COMPLEX	53	50		
GOCC_CYCLIN_CDK_POSITIVE_TRANSCRIPTION_ELONGATION_FACTOR_COMPLEX	8		Rejected!	
GOCC_SPECTRIN	9		Rejected!	
GOCC_COP9_SIGNALOSOME	36	35		
GOCC_OLIGOSACCHARYLTRANSFERASE_COMPLEX	13		Rejected!	
GOCC_COHESIN_COMPLEX	15		Rejected!	
