"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HK2",9.23599318789551e-11,0.338514762381322,0.324,0.227,1.85181663417305e-06
"TPD52L2",1.03530324964036e-10,0.32858518025676,0.387,0.29,2.07578301552892e-06
"SGPL1",1.41911996667193e-10,0.244448345072611,0.227,0.138,2.84533553317723e-06
"FKBP2",1.51664344727916e-10,0.389447164840574,0.658,0.596,3.04087011179472e-06
"USF2",1.77574187985191e-10,0.325821581257929,0.603,0.536,3.56036246910307e-06
"ATP6V1C1",2.02148972408748e-10,0.345952273720624,0.413,0.324,4.0530868967954e-06
"CCRL2",2.12777757509691e-10,0.312277556016539,0.267,0.178,4.26619403806931e-06
"RASSF2",2.66420404516074e-10,0.269922866132746,0.293,0.192,5.34172911054728e-06
"OAZ2",2.70071712435717e-10,0.271554715936783,0.303,0.205,5.41493783433612e-06
"GPR137B",2.85913738253726e-10,0.407006353394595,0.428,0.35,5.73257045198721e-06
"CEBPD",3.08363063529371e-10,0.478579658237259,0.394,0.301,6.18267942376389e-06
"NAMPT",6.31931973380598e-10,0.963619631130242,0.462,0.391,1.2670236066281e-05
"ADAP2",6.55443781375393e-10,0.380661452253443,0.527,0.457,1.31416478165766e-05
"PKM",7.64851220567635e-10,0.278567874319899,0.914,0.905,1.53352669723811e-05
"LGALS2",7.74308155862846e-10,0.250300416567996,0.201,0.115,1.55248785250501e-05
"TNFRSF14",9.23398349565593e-10,0.315890127944131,0.431,0.346,1.85141369087901e-05
"SLC4A7",9.32035099452736e-10,0.291823372877814,0.207,0.127,1.86873037440274e-05
"NFE2L2",1.23544205324001e-09,0.337057171957988,0.605,0.541,2.47706131674621e-05
"ATP6V1B2",2.04036995078858e-09,0.385408216680107,0.724,0.68,4.0909417513311e-05
"LILRB1",3.43050012254754e-09,0.404359249138424,0.376,0.294,6.87815274570782e-05
"SEMA6B",3.82345631708334e-09,0.328696863524031,0.259,0.172,7.66602991575211e-05
"WTAP",4.45849848659623e-09,0.418198853278639,0.374,0.293,8.93928946562545e-05
"SLC39A11",4.53400821164577e-09,0.20958937634831,0.22,0.137,9.09068646434977e-05
"GUK1",4.82133687823616e-09,0.230754455408322,0.809,0.796,9.6667804408635e-05
"CFLAR",5.5843887941641e-09,0.35004404981287,0.59,0.539,0.00011196699532299
