"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FYB1",1.26019983757645e-19,0.254610691228133,0.71,0.545,2.52670067434079e-15
"BCAP31",3.8024749567128e-19,0.24581486310647,0.849,0.755,7.62396228820916e-15
"SLC2A6",5.8913059336697e-19,0.222262316188677,0.296,0.173,1.18120683970078e-14
"PSMA7",1.96014769314385e-18,0.244475640062642,0.949,0.931,3.93009612475342e-14
"CD109",1.38434570718102e-17,0.232167164014742,0.253,0.148,2.77561314289795e-13
"TIMP1",1.9884291073414e-17,0.758440964479222,0.875,0.754,3.98680036021951e-13
"HK2",2.72601726772319e-17,0.202388068304739,0.326,0.206,5.46566462178499e-13
"CEBPD",3.15168466253045e-17,0.288454526449863,0.407,0.276,6.31912774837354e-13
"LRPAP1",3.49006277717889e-17,0.218759892656946,0.795,0.74,6.99757586824367e-13
"USF2",4.45037481217373e-17,0.204011166467186,0.659,0.5,8.92300149840833e-13
"PITHD1",9.88508452654381e-17,0.208727340400682,0.332,0.211,1.98195944757203e-12
"GCHFR",3.34447310403817e-16,0.344346562602489,0.757,0.658,6.70566857359653e-12
"NBN",4.81718062470642e-16,0.256344871120046,0.39,0.264,9.65844715253638e-12
"NUCB1",5.89292903655048e-16,0.202154158418735,0.707,0.595,1.18153227182837e-11
"H2AFJ",6.97784437461155e-16,0.245372822050642,0.589,0.458,1.39905779710962e-11
"HSPA5",7.02538228189778e-16,0.317427950010774,0.803,0.699,1.40858914752051e-11
"EMILIN2",7.41474454094035e-16,0.242431723829146,0.635,0.488,1.48665628045854e-11
"FAM107B",3.0007312925478e-15,0.255140319987267,0.472,0.333,6.01646624155834e-11
"MAFB",4.28443073173078e-15,0.27502695633582,0.723,0.58,8.59028361712022e-11
"PLXNC1",6.78040695838184e-15,0.254069873956826,0.271,0.174,1.35947159515556e-10
"PAPSS2",2.60523444738943e-14,0.213918250100995,0.229,0.14,5.2234950670158e-10
"HAVCR2",6.15685312742283e-14,0.200308276109726,0.598,0.454,1.23444905204828e-09
"MIR3945HG",6.27493954392543e-14,0.267741405395565,0.178,0.1,1.25812537855705e-09
"ZFP36L1",6.96468040786304e-14,0.408732672087138,0.653,0.514,1.39641842177654e-09
"WTAP",1.7383610903912e-13,0.233486741023363,0.387,0.271,3.48541398623437e-09
"ARL4C",2.46627035810596e-12,0.297545026128704,0.29,0.197,4.94487206800244e-08
"KYNU",2.6852205556434e-12,0.277546977305386,0.526,0.405,5.38386721406502e-08
"IGFBP2",3.16362008335200e-12,0.305449138568591,0.243,0.159,6.34305826712077e-08
"PABPC4",8.84069879306814e-12,0.220820963352852,0.571,0.449,1.77256010801016e-07
"LITAF",1.1024806071927e-11,0.268997812297942,0.882,0.79,2.21047361742136e-07
"RGS1",1.24166191610436e-11,0.236075227596165,0.116,0.059,2.48953214178924e-07
"SPAG9",2.76407135321192e-11,0.227826681752459,0.468,0.346,5.54196306318991e-07
"JUN",4.49141223100012e-11,0.213017923495571,0.682,0.548,9.00528152315523e-07
